Trip_ID,YEAR,COUNTRY,SPECIES,Fishing Type,Gear Type,Fishing Area,Catch_number,Catch_weight,COMMISSION,MAJOR_STOCK_UNIT,River name,SEA_AGE_SIZE_CLASS,FATE,REPORTING_CLASS,DATA_TYPE
1,2024,GB-EAW,SAL,COM,OTHER,E,156,640,NEAC,GB-EAW,NS,1SW,RELE,REPO,PROV
2,2024,GB-EAW,SAL,COM,OTHER,E,3,13,NEAC,GB-EAW,NS,1SW,RELE,UNRE,PROV
3,2024,GB-EAW,SAL,COM,OTHER,E,0,0,NEAC,GB-EAW,NS,1SW,RETA,REPO,PROV
4,2024,GB-EAW,SAL,COM,OTHER,E,0,0,NEAC,GB-EAW,NS,1SW,RETA,UNRE,PROV
5,2024,GB-EAW,SAL,COM,OTHER,E,247,1017,NEAC,GB-EAW,NS,MSW,RELE,REPO,PROV
6,2024,GB-EAW,SAL,COM,OTHER,E,5,20,NEAC,GB-EAW,NS,MSW,RELE,UNRE,PROV
7,2024,GB-EAW,SAL,COM,OTHER,E,1,7,NEAC,GB-EAW,NS,MSW,RETA,REPO,PROV
8,2024,GB-EAW,SAL,COM,OTHER,E,0,0,NEAC,GB-EAW,NS,MSW,RETA,UNRE,PROV
9,2024,GB-EAW,SAL,REC,ROD,R,2318,9633,NEAC,GB-EAW,NS,1SW,RELE,REPO,PROV
10,2024,GB-EAW,SAL,REC,ROD,R,232,963,NEAC,GB-EAW,NS,1SW,RELE,UNRE,PROV
11,2024,GB-EAW,SAL,REC,ROD,R,103,435,NEAC,GB-EAW,NS,1SW,RETA,REPO,PROV
12,2024,GB-EAW,SAL,REC,ROD,R,10,43,NEAC,GB-EAW,NS,1SW,RETA,UNRE,PROV
13,2024,GB-EAW,SAL,REC,ROD,R,3360,13961,NEAC,GB-EAW,NS,MSW,RELE,REPO,PROV
14,2024,GB-EAW,SAL,REC,ROD,R,336,1396,NEAC,GB-EAW,NS,MSW,RELE,UNRE,PROV
15,2024,GB-EAW,SAL,REC,ROD,R,149,630,NEAC,GB-EAW,NS,MSW,RETA,REPO,PROV
16,2024,GB-EAW,SAL,REC,ROD,R,15,63,NEAC,GB-EAW,NS,MSW,RETA,UNRE,PROV
17,2023,GB-EAW,SAL,COM,OTHER,E,125,563,NEAC,GB-EAW,NS,1SW,RELE,REPO,FINA
18,2023,GB-EAW,SAL,COM,OTHER,E,3,11,NEAC,GB-EAW,NS,1SW,RELE,UNRE,FINA
19,2023,GB-EAW,SAL,COM,OTHER,E,0,0,NEAC,GB-EAW,NS,1SW,RETA,REPO,FINA
20,2023,GB-EAW,SAL,COM,OTHER,E,0,0,NEAC,GB-EAW,NS,1SW,RETA,UNRE,FINA
21,2023,GB-EAW,SAL,COM,OTHER,E,361,1619,NEAC,GB-EAW,NS,MSW,RELE,REPO,FINA
22,2023,GB-EAW,SAL,COM,OTHER,E,7,32,NEAC,GB-EAW,NS,MSW,RELE,UNRE,FINA
23,2023,GB-EAW,SAL,COM,OTHER,E,0,0,NEAC,GB-EAW,NS,MSW,RETA,REPO,FINA
24,2023,GB-EAW,SAL,COM,OTHER,E,0,0,NEAC,GB-EAW,NS,MSW,RETA,UNRE,FINA
25,2023,GB-EAW,SAL,REC,ROD,R,1680,7480,NEAC,GB-EAW,NS,1SW,RELE,REPO,FINA
26,2023,GB-EAW,SAL,REC,ROD,R,168,748,NEAC,GB-EAW,NS,1SW,RELE,UNRE,FINA
27,2023,GB-EAW,SAL,REC,ROD,R,88,363,NEAC,GB-EAW,NS,1SW,RETA,REPO,FINA
28,2023,GB-EAW,SAL,REC,ROD,R,9,36,NEAC,GB-EAW,NS,1SW,RETA,UNRE,FINA
29,2023,GB-EAW,SAL,REC,ROD,R,3249,14471,NEAC,GB-EAW,NS,MSW,RELE,REPO,FINA
30,2023,GB-EAW,SAL,REC,ROD,R,325,1447,NEAC,GB-EAW,NS,MSW,RELE,UNRE,FINA
31,2023,GB-EAW,SAL,REC,ROD,R,171,701,NEAC,GB-EAW,NS,MSW,RETA,REPO,FINA
32,2023,GB-EAW,SAL,REC,ROD,R,17,70,NEAC,GB-EAW,NS,MSW,RETA,UNRE,FINA
