ID,YEAR,COUNTRY,SPECIES,Fishing Type,Gear Type,Fishing Area,Catch_number,Catch_weight,DATA_QUALITY,COMMISSION,MAJOR_STOCK_UNIT,Minor Stock Unit,River name,SEA_AGE_SIZE_CLASS,FATE,REPORTING_CLASS,DATA_TYPE,Harvest rate change,Comment
1,2024,GB-EAW,SAL,COM,OTHER,E,156,640,,NEAC,GB-EAW,,NS,1SW,RELE,REPO,PROV,All commercial catches of 1SW salmon in 2024 were released in accordance with national byelaws.,"National byelaws requiring the release of all net caught salmon were introduced in 2019 and 2020 in England and Wales, respectively. These byelaws closed all net fisheries for salmon and renewed the 1998 Spring Salmon Byelaws to protect early running salmon. The released 1SW catch weight for commercial fisheries has been derived by applying the proportion of 1SW fish from declared catch numbers to released catch weights from commercial fisheries."
2,2024,GB-EAW,SAL,COM,OTHER,E,3,13,,NEAC,GB-EAW,,NS,1SW,RELE,UNRE,PROV,,Unreported released catch estimates for the commercial fishery are derived from declared released catches scaled by an under-reporting rate of 0.02.
3,2024,GB-EAW,SAL,COM,OTHER,E,0,0,,NEAC,GB-EAW,,NS,1SW,RETA,REPO,PROV,No commercial catches of 1SW salmon in 2024 were retained in accordance with national byelaws.,"National byelaws requiring the release of all net caught salmon were introduced in 2019 and 2020 in England and Wales, respectively. These byelaws closed all net fisheries for salmon and renewed the 1998 Spring Salmon Byelaws to protect early running salmon. The retained 1SW catch weight for commercial fisheries has been derived by applying the proportion of 1SW fish from declared catch numbers to retained catch weights from commercial fisheries."
4,2024,GB-EAW,SAL,COM,OTHER,E,0,0,,NEAC,GB-EAW,,NS,1SW,RETA,UNRE,PROV,,Unreported retained catch estimates for the commercial fishery are derived from declared retained catches scaled by an under-reporting rate of 0.02.
5,2024,GB-EAW,SAL,COM,OTHER,E,247,1017,,NEAC,GB-EAW,,NS,MSW,RELE,REPO,PROV,"All commercial catches of MSW salmon in 2024 were released, except for one 7 kg MSW salmon retained illegally in the Welsh coracle net fishery contrary to national byelaws.","National byelaws requiring the release of all net caught salmon were introduced in 2019 and 2020 in England and Wales, respectively. These byelaws closed all net fisheries for salmon and renewed the 1998 Spring Salmon Byelaws to protect early running salmon. The released MSW catch weight for commercial fisheries has been derived by applying the proportion of MSW fish from declared catch numbers to released catch weights from commercial fisheries."
6,2024,GB-EAW,SAL,COM,OTHER,E,5,20,,NEAC,GB-EAW,,NS,MSW,RELE,UNRE,PROV,,Unreported released catch estimates for the commercial fishery are derived from declared released catches scaled by an under-reporting rate of 0.02.
7,2024,GB-EAW,SAL,COM,OTHER,E,1,7,,NEAC,GB-EAW,,NS,MSW,RETA,REPO,PROV,"In 2024, one 7 kg MSW salmon was retained illegally in the commercial net fishery in Wales contrary to national byelaws.","National byelaws requiring the release of all net caught salmon were introduced in 2019 and 2020 in England and Wales, respectively. These byelaws closed all net fisheries for salmon and renewed the 1998 Spring Salmon Byelaws to protect early running salmon. The retained MSW catch weight for commercial fisheries has been derived by applying the proportion of MSW fish from declared catch numbers to retained catch weights from commercial fisheries."
8,2024,GB-EAW,SAL,COM,OTHER,E,0,0,,NEAC,GB-EAW,,NS,MSW,RETA,UNRE,PROV,,Unreported retained catch estimates for the commercial fishery are derived from declared retained catches scaled by an under-reporting rate of 0.02.
9,2024,GB-EAW,SAL,REC,ROD,R,2318,9633,,NEAC,GB-EAW,,NS,1SW,RELE,REPO,PROV,,"National byelaws introduced in 2019 and 2020 in England and Wales, respectively, require mandatory catch-and-release on rivers classed as ‘at risk’ and listed as ‘recovering rivers’, implemented voluntary catch-and-release targets in excess of 90% on rivers classed as ‘probably at risk’ and renewed the 1998 Spring Salmon Byelaws to protect early running salmon. The released 1SW catch weight for recreational fisheries has been derived by applying the proportion of 1SW fish from declared catch numbers to released catch weights from recreational fisheries."
10,2024,GB-EAW,SAL,REC,ROD,R,232,963,,NEAC,GB-EAW,,NS,1SW,RELE,UNRE,PROV,,Unreported released catch estimates for the recreational fishery are derived from declared released catches scaled by an under-reporting rate of 0.10.
